         55          1         12      72,00       3,00      37,00       3,00          1         23          0          3f          5          0          1          1          1          0          1          0          1          1          1          0          0          0          0          1
         56          0         29     153,00       4,00      76,00       3,00          1         35          0          3m          1          1          0          1          1          0          1          1          1          1          1          0          0          0          0          0
         28          1          9      28,00       2,00      13,90       1,00          3          4          0          1f          9          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         24          1          4      26,00       2,00      13,00       1,00          4          0          0          1m          3          0          0          0          0          0          0          1          1          1          1          0          1          0          1          1
         25          1          2      23,00       1,00      11,30       1,00          2          5          0          2m          5          0          1          0          0          1          1          0          1          1          0          0          1          0          1          1
         45          0          9      76,00       4,00      37,30       3,00          3         13          0          2m          1          1          1          0          0          1          1          1          1          1          1          0          0          0          1          1
         44          1         17     144,00       4,00      72,10       3,00          2         23          0          3m          2          1          0          0          0          0          1          1          1          1          1          0          1          1          1          1
         46          1         20      75,00       4,00      37,10       3,00          1         29          0          3m          4          0          0          1          0          0          0          1          1          1          1          0          0          0          0          0
         41          0         10      26,00       2,00      13,00       1,00          1          8          0          2m          2          0          0          0          0          9          0          1          1          1          1          0          0          0          0          1
         29          0          4      19,00       1,00       9,60       1,00          2         10          0          2f          3          0          0          1          0          0          1          0          1          1          1          0          0          0          1          1
         34          0          0      89,00       4,00      44,40       3,00          3         12          0          2m          3          1          0          1          0          0          1          1          1          1          1          0          0          1          1          0
         55          0         17      72,00       3,00      36,10       3,00          3          2          0          1f          1          1          0          1          0          0          1          1          1          1          1          1          0          0          1          1
         28          0          9      55,00       3,00      28,20       2,00          4          1          0          1m          1          0          1          0          0          9          0          0          1          1          1          0          1          0          0          1
         21          1          2      20,00       1,00       9,60       1,00          3          0          0          1f          7          1          0          0          0          0          1          1          1          1          1          0          1          1          1          1
         55          0          8     283,00       4,00      77,40       3,00          3         11          0          2f          1          1          0          0          0          0          1          0          1          1          1          0          1          1          0          0
         35          0          8      70,00       3,00      35,40       3,00          3          9          0          2m          1          0          1          1          0          1          0          0          1          1          1          0          1          0          0          1
         45          0          4      48,00       2,00      25,00       2,00          2          7          0          2f          1          0          0          0          1          0          1          1          1          1          1          0          0          0          1          1
         21          0          1      37,00       2,00      18,40       2,00          3          0          0          1m          3          0          1          0          0          0          0          0          1          1          1          0          1          0          1          1
         32          0          0      28,00       2,00      14,20       1,00          1          2          0          1f          4          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         42          0          9     109,00       4,00      54,00       3,00          3         20          0          3f          1          1          0          0          0          1          0          0          1          1          1          0          1          0          0          1
         40          1         12     117,00       4,00      59,80       3,00          2         19          0          3f          4          1          0          1          0          0          1          1          1          1          1          0          0          0          1          1
         36          0          6      39,00       2,00      19,20       2,00          2          0          0          1f          7          0          1          0          0          0          0          0          1          1          1          0          0          0          0          1
         42          1         13      53,00       3,00      25,90       2,00          2          6          0          2m          5          0          1          1          0          0          0          1          1          1          1          0          1          0          1          1
         65          1         17      42,00       2,00      21,30       2,00          2         24          0          3m          2          0          1          1          0          0          1          1          1          1          1          0          0          0          1          0
         52          1          5      83,00       4,00      40,90       3,00          1         24          0          3m          4          0          0          0          1          0          0          1          1          1          1          0          0          0          0          1
         51          1         17     148,00       4,00      73,70       3,00          4         10          0          2m          3          1          1          1          1          0          1          1          1          1          1          1          1          1          0          1
         44          1          1      29,00       2,00      14,30       1,00          2          5          0          2m          2          1          0          0          0          0          1          0          1          1          1          0          0          0          0          1
         26          0          6      28,00       2,00      14,00       1,00          4          1          0          1f          1          1          1          0          0          1          0          0          1          1          1          0          1          0          1          1
