v1;v2;v3;v4;v5
Agree;Disagree;No Opinion;Agree;Strongly Disagree
Strongly Disagree;Strongly Disagree;No Opinion;Strongly Disagree;Strongly Disagree
Strongly Agree;Disagree;Disagree;No Opinion;Agree
No Opinion;Strongly Disagree;No Opinion;Strongly Disagree;Disagree
Strongly Agree;No Opinion;Strongly Disagree;Strongly Agree;No Opinion
Strongly Disagree;Disagree;Strongly Agree;Agree;Disagree
No Opinion;Disagree;Agree;No Opinion;Strongly Disagree
Strongly Disagree;Agree;Strongly Agree;Disagree;Strongly Disagree
No Opinion;Disagree;No Opinion;Strongly Disagree;Disagree
Disagree;Strongly Agree;Agree;Disagree;Strongly Disagree
Agree;Disagree;Disagree;No Opinion;Strongly Agree
Disagree;Strongly Disagree;Agree;Strongly Disagree;Strongly Disagree
Strongly Disagree;Disagree;Strongly Agree;Strongly Agree;Disagree
Disagree;No Opinion;No Opinion;No Opinion;Strongly Disagree
Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;No Opinion
Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;Disagree
Disagree;Strongly Agree;Strongly Agree;Disagree;Disagree
