    2,59    19,1     ,98     ,00
    4,40    19,2     ,23     ,00
    2,63    18,8     ,68    1,00
    7,45    35,1     ,90    1,00
    8,29    36,3     ,88     ,00
    5,44    29,7     ,26     ,00
   12,85    50,2     ,52    1,00
   26,47    90,6     ,98    1,00
    9,67    41,7     ,93     ,00
    8,31    35,1     ,16     ,00
    3,84    23,8     ,92    1,00
    8,12    35,3     ,99     ,00
    1,63    14,1     ,98    1,00
   14,84    60,8     ,58    1,00
    8,30    35,8     ,10     ,00
