custid	region	townsize	gender	age	agecat	birthmonth	ed	edcat	jobcat	union	employ	empcat	retire	income	lninc	inccat	debtinc	creddebt	lncreddebt	othdebt	lnothdebt	default	jobsat	marital	spoused	spousedcat	reside	pets	pets_cats	pets_dogs	pets_birds	pets_reptiles	pets_small	pets_saltfish	pets_freshfish	homeown	hometype	address	addresscat	cars	carown	cartype	carvalue	carcatvalue	carbought	carbuy	commute	commutecat	commutetime	commutecar	commutemotorcycle	commutecarpool	commutebus	commuterail	commutepublic	commutebike	commutewalk	commutenonmotor	telecommute	reason	polview	polparty	polcontrib	vote	card	cardtype	cardbenefit	cardfee	cardtenure	cardtenurecat	card2	card2type	card2benefit	card2fee	card2tenure	card2tenurecat	carditems	cardspent	card2items	card2spent	active	bfast	tenure	churn	longmon	lnlongmon	longten	lnlongten	tollfree	tollmon	lntollmon	tollten	lntollten	equip	equipmon	lnequipmon	equipten	lnequipten	callcard	cardmon	lncardmon	cardten	lncardten	wireless	wiremon	lnwiremon	wireten	lnwireten	multline	voice	pager	internet	callid	callwait	forward	confer	ebill	owntv	hourstv	ownvcr	owndvd	owncd	ownpda	ownpc	ownipod	owngame	ownfax	news	response_01	response_02	response_03
3964-QJWTRG-NPN	Zone 1	50,000-249,999	Female	20	18-24	September	15	Some college	Managerial and Professional	Yes	0	Less than 2	No	31	3,43398720448515	$25 - $49	11,1	1,200909	,183078770035633	2,240091	,806516490041776	Yes	Highly dissatisfied	Unmarried	Not married	Not married	3	0	0	0	0	0	0	0	0	Rent	Multiple-Family	0	Less than 3	2	Own	Domestic	14,3	Economy	No	No	Walk	Non-motorized	22	No	Yes	Yes	No	No	No	No	Yes	No	No	No response	Conservative	Yes	No	Yes	Mastercard	None	None	No	2	2 to 5	Other	Platinum	None	No	3	2 to 5	5	81,66	4	67,8	No	Cereal	5	Yes	6,5	1,87180217690159	34,4	3,53805656437935	Yes	29	3,36729582998647	161,05	5,08171487577721	Yes	29,5	3,38439026334577	126,1	4,83707524297087	Yes	14,25	2,65675690671466	60	4,0943445622221	No	0	 	0	 	Yes	Yes	Yes	None	No	Yes	Yes	Yes	No	Yes	13	Yes	Yes	No	No	No	Yes	Yes	No	No	No	Yes	No
0648-AIPJSP-UVM	Zone 5	< 2,500	Male	22	18-24	May	17	College degree	Sales and Office	No	0	Less than 2	No	15	2,70805020110221	Under $25	18,6	1,22202	,200505227227583	1,56798	,449788166744828	Yes	Highly dissatisfied	Unmarried	Not married	Not married	2	6	0	0	0	0	0	0	6	Own	Condominium/Townhouse	2	Less than 3	2	Own	Import	6,8	Economy	No	No	Car	Single occupancy	29	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	No response	Moderate	Yes	No	No	Visa	Other	None	No	4	2 to 5	Discover	None	Airline miles	No	4	2 to 5	5	42,6	2	34,94	Yes	Energy bar	39	No	8,9	2,18605127673809	330,6	5,80090918538692	No	0	 	0	 	Yes	54,85	4,00460218672124	1975	7,58832367733522	Yes	16	2,77258872223978	610	6,41345895716736	Yes	45,65	3,82100360704098	1683,55	7,42865993818979	Yes	Yes	Yes	Other	Yes	No	Yes	No	Yes	Yes	18	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No
5195-TLUDJE-HVO	Zone 3	2,500-9,999	Female	67	>65	June	14	High school degree	Sales and Office	No	16	More than 15	No	35	3,55534806148941	$25 - $49	9,9	,92862	-,0740556658294137	2,53638	,930737867621041	No	Somewhat satisfied	Married	13	High school degree	3	3	2	1	0	0	0	0	0	Own	Single-family	30	More than 25	3	Own	Import	18,8	Economy	No	Yes	Bus	Public transportation	24	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Convenience	Slightly conservative	Yes	No	No	Visa	None	Other	No	35	More than 15	Discover	None	Airline miles	No	25	More than 15	9	184,22	7	175,75	No	Cereal	65	No	28,4	3,34638914516716	1858,35	7,52744427622986	No	0	 	0	 	No	0	 	0	 	Yes	23	3,13549421592915	1410	7,25134498337221	No	0	 	0	 	Yes	No	No	None	No	No	No	No	No	Yes	21	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	No
4459-VLPQUH-3OL	Zone 4	10,000-49,999	Male	23	18-24	May	16	Some college	Sales and Office	No	0	Less than 2	No	20	2,99573227355399	Under $25	5,7	,0228	-3,78099474302174	1,1172	,110825555088885	Yes	Somewhat dissatisfied	Married	18	College degree	5	0	0	0	0	0	0	0	0	Own	Condominium/Townhouse	3	4 to 7	3	Own	Import	8,7	Economy	No	Yes	Car	Single occupancy	38	Yes	No	No	No	No	No	No	No	No	No	No response	Slightly liberal	No	No	No	Visa	None	Other	No	5	2 to 5	Mastercard	Gold	Other	No	5	2 to 5	17	340,99	1	18,42	Yes	Energy bar	36	No	6	1,79175946922806	199,45	5,29556357835142	No	0	 	0	 	No	0	 	0	 	Yes	21	3,04452243772342	685	6,52941883826223	No	0	 	0	 	Yes	No	No	DSL	No	No	No	No	Yes	Yes	26	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No
8158-SMTQFB-CNO	Zone 2	50,000-249,999	Male	26	25-34	July	16	Some college	Sales and Office	No	1	Less than 2	No	23	3,13549421592915	Under $25	1,7	,214659	-1,53870455646938	,176341	-1,73533565847623	No	Highly dissatisfied	Married	13	High school degree	4	0	0	0	0	0	0	0	0	Rent	Multiple-Family	3	4 to 7	1	Lease	Import	10,6	Economy	No	Yes	Other public transit	Public transportation	32	No	No	No	No	No	Yes	No	Yes	No	No	No response	Moderate	No	No	No	Discover	Gold	None	No	8	6 to 10	American Express	Platinum	Cash back	No	9	6 to 10	8	255,1	7	252,73	Yes	Cereal	21	No	3,05	1,11514159061932	74,1	4,30541553230204	Yes	16,5	2,80336038090653	387,7	5,96023184467688	No	0	 	0	 	Yes	17,25	2,84781214347737	360	5,88610403145016	Yes	19,05	2,94706710157271	410,8	6,0181064780544	No	Yes	No	Cable modem	Yes	Yes	Yes	Yes	No	Yes	27	Yes	Yes	Yes	No	Yes	No	Yes	No	No	No	Yes	No
9662-FUSYIM-1IV	Zone 4	2,500-9,999	Male	64	50-64	August	17	College degree	Service	No	22	More than 15	No	107	4,67282883446191	$75 - $124	5,6	1,060584	,0588196998066104	4,931416	1,59562616790985	No	Somewhat dissatisfied	Unmarried	Not married	Not married	1	11	1	1	0	0	2	0	7	Own	Single-family	31	More than 25	0	N/A	N/A	N/A	N/A	N/A	No	Walk	Non-motorized	23	No	No	No	No	Yes	No	No	Yes	No	No	No response	Moderate	No	No	No	Visa	Other	None	Yes	18	More than 15	Mastercard	Platinum	Cash back	Yes	9	6 to 10	11	228,27	0	0	No	Cereal	28	No	8,1	2,09186406167839	264,9	5,57935239627802	Yes	26,75	3,28653447334202	726,6	6,5883761197871	Yes	35,5	3,56953269648137	970,95	6,87827497365963	Yes	28,25	3,34109345759245	765	6,63987583382654	No	0	 	0	 	No	No	Yes	None	Yes	Yes	Yes	Yes	No	Yes	21	Yes	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No
7432-QKQFJJ-K72	Zone 2	< 2,500	Female	52	50-64	July	14	High school degree	Managerial and Professional	No	10	6 to 10	No	77	4,34380542185368	$75 - $124	1,9	,501809	-,68953570977821	,961191	-,0395821384595394	No	Somewhat dissatisfied	Unmarried	Not married	Not married	1	2	0	2	0	0	0	0	0	Rent	Condominium/Townhouse	21	16 to 25	2	Own	Domestic	25,6	Standard	Yes	No	Bus	Public transportation	32	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No response	Moderate	No	No	No	Other	Platinum	None	Yes	3	2 to 5	Visa	Platinum	Other	No	2	2 to 5	20	822,32	5	130,14	No	Oatmeal	15	No	3,8	1,33500106673234	44,8	3,80220813942094	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	Dial-up	No	No	Yes	No	No	Yes	19	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No
8959-RZWRHU-ST8	Zone 3	2,500-9,999	Female	44	35-49	October	16	Some college	Managerial and Professional	No	11	11 to 15	No	97	4,57471097850338	$75 - $124	14,4	5,950368	1,78345306638448	8,017632	2,08164311643468	No	Highly satisfied	Married	15	Some college	2	10	0	2	0	0	0	0	8	Own	Condominium/Townhouse	20	16 to 25	1	Own	Domestic	55,5	Luxury	No	Yes	Train/Subway	Public transportation	31	No	No	No	No	Yes	No	No	No	No	No	Convenience	Conservative	No	No	Yes	American Express	None	Other	No	25	More than 15	Mastercard	None	Other	No	20	More than 15	6	592,7	7	712,1	No	Cereal	46	No	14,85	2,69799986524871	612,7	6,41787541973161	Yes	24	3,17805383034795	1110,4	7,01247558975254	No	0	 	0	 	Yes	14,5	2,67414864942653	630	6,44571981938558	No	0	 	0	 	Yes	No	No	None	Yes	Yes	Yes	Yes	No	Yes	13	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	No
9124-DZALHM-S6I	Zone 2	10,000-49,999	Female	66	>65	October	12	High school degree	Managerial and Professional	No	15	11 to 15	Yes	16	2,77258872223978	Under $25	2,6	,102336	-2,27949376177065	,313664	-1,15943292969505	No	Somewhat dissatisfied	Unmarried	Not married	Not married	1	1	1	0	0	0	0	0	0	Own	Single-family	21	16 to 25	1	Own	Import	8,6	Economy	No	No	Bus	Public transportation	25	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No response	Slightly liberal	Yes	Yes	Yes	Mastercard	Other	Cash back	No	26	More than 15	Visa	Other	Airline miles	No	17	More than 15	12	326,59	6	141,24	Yes	Cereal	53	No	21,05	3,04690056012839	1074,35	6,97947110652374	No	0	 	0	 	No	0	 	0	 	Yes	15,5	2,7408400239252	830	6,72142570079064	No	0	 	0	 	Yes	No	No	None	No	No	No	No	No	Yes	25	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	No
3512-MUWBGY-52X	Zone 2	50,000-249,999	Male	47	35-49	July	11	Did not complete high school	Operation, Fabrication, General Labor	No	19	More than 15	No	84	4,43081679884331	$75 - $124	4,1	1,770216	,571101573038512	1,673784	,515086931483841	No	Somewhat satisfied	Unmarried	Not married	Not married	2	1	1	0	0	0	0	0	0	Own	Single-family	19	16 to 25	4	Own	Domestic	41	Luxury	Yes	No	Car	Single occupancy	29	Yes	Yes	No	No	No	No	No	No	No	No	No response	Slightly liberal	Yes	Yes	Yes	Other	Other	None	No	2	2 to 5	Visa	Gold	None	No	2	2 to 5	11	199,64	5	111,17	Yes	Cereal	3	Yes	3,65	1,2947271675944	20,05	2,99822915375258	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	None	No	No	No	No	No	Yes	21	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No
